hcp_name,num_articles,title,title_link,authors,publications,snippet
Anna Askelin,0,,,,,
Anna Askelin,0,,,,,
Anna Askelin,0,,,,,
Henrik Lindman,10,[HTML][HTML] Breast cancer in young women: poor survival despite intensive treatment,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0007695,"H Fredholm, S Eaker, J Frisell, L Holmberg… ","PloS one, 2009 ","Background Breast cancer is uncommon in young women and correlates with a less favourable 
prognosis; still it is the most frequent cancer in women under 40, accounting for 30–40% of 
all incident female cancer. The aim of this study was to study prognosis in young women, …"
Henrik Lindman,10,"[HTML][HTML] Potent corticosteroid cream (mometasone furoate) significantly reduces acute radiation dermatitis: results from a double-blind, randomized study",https://www.sciencedirect.com/science/article/pii/S0167814001003279,"Å Boström, H Lindman, C Swartling, B Berne… ","Radiotherapy and …, 2001 ","Purpose: Radiation-induced dermatitis is a very common side effect of radiation therapy, and 
may necessitate interruption of the therapy. There is a substantial lack of evidence-based 
treatments for this condition. The aim of this study was to investigate the effect of mometasone …"
Henrik Lindman,10,First-in-human molecular imaging of HER2 expression in breast cancer metastases using the 111In-ABY-025 affibody molecule,https://jnm.snmjournals.org/content/55/5/730.short,"J Sörensen, D Sandberg, M Sandström… ","Journal of nuclear …, 2014 ","The expression status of human epidermal growth factor receptor type 2 (HER2) predicts 
the response of HER2-targeted therapy in breast cancer. ABY-025 is a small reengineered 
Affibody molecule targeting a unique epitope of the HER2 receptor, not occupied by current …"
Henrik Lindman,10,"[HTML][HTML] Tailored fluorouracil, epirubicin, and cyclophosphamide compared with marrow-supported high-dose chemotherapy as adjuvant treatment for high-risk breast …",https://www.sciencedirect.com/science/article/pii/S0140673600028415,"J Bergh, T Wiklund, B Erikstein, E Lidbrink, H Lindman… ","The Lancet, 2000 ","Background Chemotherapy drug distribution varies greatly among individual patients. 
Therefore, we developed an individualised fluorouracil, epirubicin, cyclophosphamide (FEC) 
regimen to improve outcomes in patients with high-risk early breast cancer. We then did a …"
Henrik Lindman,10,Effect of adjuvant trastuzumab for a duration of 9 weeks vs 1 year with concomitant chemotherapy for early human epidermal growth factor receptor 2–positive breast …,https://jamanetwork.com/journals/jamaoncology/article-abstract/2682589,"H Joensuu, J Fraser, H Wildiers, R Huovinen… ","JAMA …, 2018 ","Importance Trastuzumab plus chemotherapy is the standard adjuvant treatment for patients 
with human epidermal growth factor receptor 2 (HER2)-positive early breast cancer. While 
the standard duration of trastuzumab treatment is 12 months, the benefits and harms of …"
Henrik Lindman,10,"[PDF][PDF] Adjuvant capecitabine, docetaxel, cyclophosphamide, and epirubicin for early breast cancer: final analysis of the randomized FinXX trial",https://www.academia.edu/download/51792387/Adjuvant_Capecitabine_Docetaxel_Cyclopho20170214-31350-16w4l5k.pdf,"H Joensuu, PL Kellokumpu-Lehtinen, R Huovinen… ","J Clin Oncol, 2012 ","… Heikki Joensuu, Pirkko-Liisa Kellokumpu-Lehtinen, Riikka Huovinen, Arja Jukkola-Vuorinen, 
Minna Tanner, Riitta Kokko, Johan Ahlgren, Päivi Auvinen, Outi Paija, Leena Helle, Kenneth 
Villman, Paul Nyandoto, Greger Nilsson, Marjo Pajunen, Raija Asola, Paula Poikonen, Mika …"
Henrik Lindman,10,[HTML][HTML] Measuring HER2-receptor expression in metastatic breast cancer using [68Ga] ABY-025 Affibody PET/CT,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4729774/,"J Sörensen, I Velikyan, D Sandberg, A Wennborg… ","Theranostics, 2016 ","Purpose: Positron Emission Tomography (PET) imaging of HER2 expression could potentially 
be used to select patients for HER2-targed therapy, predict response based on uptake and 
be used for monitoring. In this phase I/II study the HER2-binding Affibody molecule ABY-…"
Henrik Lindman,10,[HTML][HTML] Adherence and discontinuation of adjuvant hormonal therapy in breast cancer patients: a population-based study,https://link.springer.com/article/10.1007/s10549-012-1961-4,"A Wigertz, J Ahlgren, M Holmqvist, T Fornander… ","Breast cancer research …, 2012 ","Adherence to long-term pharmacological treatment for chronic conditions is often less than 
optimal. Till date, a limited number of population-based studies have assessed adherence 
to adjuvant hormonal therapy in breast cancer, a therapy with proven benefits in terms of …"
Henrik Lindman,10,Biodistribution and radiation dosimetry of the anti-HER2 affibody molecule 68Ga-ABY-025 in breast cancer patients,https://jnm.snmjournals.org/content/57/6/867.short,"M Sandström, K Lindskog, I Velikyan… ","Journal of Nuclear …, 2016 ","68 Ga-ABY-025 is a radiolabeled Affibody molecule for in vivo diagnosis of human epidermal 
growth factor receptor 2 (HER2)–positive breast cancer tumors with PET. The aim of the 
present work was to measure the biodistribution and estimate the radiation dosimetry of 68 Ga-…"
Henrik Lindman,10,[HTML][HTML] Long-term outcome in young women with breast cancer: a population-based study,https://link.springer.com/article/10.1007/s10549-016-3983-9,"H Fredholm, K Magnusson, LS Lindström… ","Breast cancer research …, 2016 ","Purpose Whether young age at diagnosis of breast cancer is an independent risk factor for 
death remains controversial, and the question whether young age should be considered in 
treatment decisions is still to be answered. Methods From a population-based cohort of 22,017 …"
Henrik Lindman,20,"[HTML][HTML] Adjuvant capecitabine in combination with docetaxel and cyclophosphamide plus epirubicin for breast cancer: an open-label, randomised controlled trial",https://www.sciencedirect.com/science/article/pii/S1470204509703079,"H Joensuu, PL Kellokumpu-Lehtinen, R Huovinen… ","The lancet oncology, 2009 ","Background Standard adjuvant chemotherapy regimens for patients with moderate-to-high-risk 
early breast cancer typically contain a taxane, an anthracycline, and cyclophosphamide. We 
aimed to investigate whether integration of capecitabine into such a regimen enhances …"
Henrik Lindman,20,[HTML][HTML] Molecular subtypes in ductal carcinoma in situ of the breast and their relation to prognosis: a population-based cohort study,https://bmccancer.biomedcentral.com/articles/10.1186/1471-2407-13-512,"W Zhou, K Jirström, RM Amini… ","BMC …, 2013 ","Different molecular subtypes of breast cancer have been identified based on gene expression 
profiling. Treatment suggestions based on an approximation of these subtypes by 
immunohistochemical criteria have been published by the St Gallen international expert consensus …"
Henrik Lindman,20,Bisphosphonate treatment in primary breast cancer: results from a randomised comparison of oral pamidronate versus no pamidronate in patients with primary breast …,https://www.tandfonline.com/doi/abs/10.1080/02841860801964988,"B Kristensen, B Ejlertsen, HT Mouridsen… ","Acta …, 2008 ","Purpose and patients. During the period from January 1990 to January 1996 a total of 953 
patients with lymph node negative primary breast cancer were randomised to oral pamidronate 
(n=460) 150 mg twice daily for 4 years or no adjuvant pamidronate (n=493) in order to …"
Henrik Lindman,20,"Adjuvant capecitabine in combination with docetaxel, epirubicin, and cyclophosphamide for early breast cancer: the randomized clinical FinXX trial",https://jamanetwork.com/journals/jamaoncology/article-abstract/2606438,"H Joensuu, PL Kellokumpu-Lehtinen… ","JAMA …, 2017 ","Importance Capecitabine is not considered a standard agent in the adjuvant treatment of 
early breast cancer. The results of this study suggest that addition of adjuvant capecitabine 
to a regimen that contains docetaxel, epirubicin, and cyclophosphamide improves survival …"
Henrik Lindman,20,[HTML][HTML] Characterization of endogenous G-CSF and the inverse correlation to chemotherapy-induced neutropenia in patients with breast cancer using population …,https://link.springer.com/article/10.1007/s11095-014-1429-9,"AL Quartino, MO Karlsson, H Lindman… ","Pharmaceutical …, 2014 ","Purpose Neutropenia is a severe adverse-event of chemotherapeutics. Neutrophils (ANC) are 
mainly regulated by granulocyte colony stimulating factor (G-CSF). The aim was to characterize 
the dynamics between endogenous G-CSF and ANC over time following chemotherapy…"
Henrik Lindman,20,[HTML][HTML] Urogenital disorders in women with adjuvant endocrine therapy after early breast cancer,https://www.sciencedirect.com/science/article/pii/S0002937810010380,"J Baumgart, K Nilsson, A Stavreus-Evers, K Kask… ","American journal of …, 2011 ","Objective To investigate the prevalence of urogenital symptoms and vaginal atrophy in 
postmenopausal breast cancer patients on adjuvant endocrine therapy. Study Design A 
population-based, cross-sectional study on postmenopausal breast cancer patients on adjuvant …"
Henrik Lindman,20,[HTML][HTML] Cross comparison and prognostic assessment of breast cancer multigene signatures in a large population-based contemporary clinical series,https://www.nature.com/articles/s41598-019-48570-x,"J Vallon-Christersson, J Häkkinen, C Hegardt… ","Scientific reports, 2019 ","Multigene expression signatures provide a molecular subdivision of early breast cancer 
associated with patient outcome. A gap remains in the validation of such signatures in clinical 
treatment groups of patients within population-based cohorts of unselected primary breast …"
Henrik Lindman,20,"[HTML][HTML] Diagnostic HER2-binding radiopharmaceutical,[68Ga] Ga-ABY-025, for routine clinical use in breast cancer patients",https://www.ncbi.nlm.nih.gov/pmc/articles/pmc6420710/,"I Velikyan, P Schweighöfer, J Feldwisch… ","American journal of …, 2019 ","[68 Ga] Ga-ABY-025/PET-CT targeting human epidermal growth factor receptor type 2 (HER2) 
has demonstrated its potential clinical value for the detection and quantification of HER2 in 
a phase I clinical study with breast cancer patients. Previously, the radiopharmaceutical …"
Henrik Lindman,20,U-CAN: a prospective longitudinal collection of biomaterials and clinical information from adult cancer patients in Sweden,https://www.tandfonline.com/doi/abs/10.1080/0284186X.2017.1337926,"B Glimelius, B Melin, G Enblad, I Alafuzoff… ","Acta …, 2018 ","Background: Progress in cancer biomarker discovery is dependent on access to high-quality 
biological materials and high-resolution clinical data from the same cases. To overcome 
current limitations, a systematic prospective longitudinal sampling of multidisciplinary clinical …"
Henrik Lindman,20,"Neoadjuvant trastuzumab, pertuzumab, and docetaxel vs trastuzumab emtansine in patients with ERBB2-positive breast cancer: a phase 2 randomized clinical trial",https://jamanetwork.com/journals/jamaoncology/article-abstract/2781086,"T Hatschek, T Foukakis, J Bjöhle, T Lekberg… ","JAMA …, 2021 ","Importance Trastuzumab emtansine (T-DM1) is presently approved for treatment of advanced 
breast cancer and after incomplete response to neoadjuvant therapy, but the potential of 
T-DM1 as monotherapy is so far unknown. Objective To assess pathologic complete response …"
Henrik Lindman,30,[HTML][HTML] Agreement between molecular subtyping and surrogate subtype classification: a contemporary population-based study of ER-positive/HER2-negative primary …,https://link.springer.com/article/10.1007/s10549-019-05378-7,"C Lundgren, PO Bendahl, Å Borg, A Ehinger… ","Breast cancer research …, 2019 ","Purpose Oestrogen receptor-positive (ER+) and human epidermal receptor 2-negative (HER2–) 
breast cancers are classified as Luminal A or B based on gene expression, but 
immunohistochemical markers are used for surrogate subtyping. The aims of this study were to …"
Henrik Lindman,30,[HTML][HTML] Intra-image referencing for simplified assessment of HER2-expression in breast cancer metastases using the Affibody molecule ABY-025 with PET and …,https://link.springer.com/article/10.1007/s00259-017-3650-3,"D Sandberg, V Tolmachev, I Velikyan… ","European journal of …, 2017 ","Purpose In phase I/II-studies radiolabelled ABY-025 Affibody molecules identified human 
epidermal growth factor receptor 2 (HER2) expression in breast cancer metastases using 
PET and SPECT imaging. Here, we wanted to investigate the utility of a simple intra-image …"
Henrik Lindman,30,[HTML][HTML] Model describing the relations between pharmacokinetics and hematological toxicity of the epirubicin-docetaxel regimen in breast cancer,https://www.diva-portal.org/smash/record.jsf?pid=diva2:163737,"M Sandström, H Lindman, P Nygren… ","Journal of clinical …, 2005 ","PURPOSE: The aims of the present study were (1) to characterize the pharmacokinetics of 
both component drugs and (2) to describe the relationship between the pharmacokinetics 
and the dose-limiting hematologic toxicity for the epirubicin (EPI)/docetaxel (DTX) regimen in …"
Henrik Lindman,30,Minimizing inequality in access to precision medicine in breast cancer by real-time population-based molecular analysis in the SCAN-B initiative,https://academic.oup.com/bjs/article-abstract/105/2/e158/6122967,"L Rydén, N Loman, C Larsson, C Hegardt… ","Journal of British …, 2018 ","Background Selection of systemic therapy for primary breast cancer is currently based on 
clinical biomarkers along with stage. Novel genomic tests are continuously being introduced 
as more precise tools for guidance of therapy, although they are often developed for specific …"
Henrik Lindman,30,[HTML][HTML] Node-positive left-sided breast cancer patients after breast-conserving surgery: potential outcomes of radiotherapy modalities and techniques,https://www.sciencedirect.com/science/article/pii/S0167814002002669,"J Johansson, U Isacsson, H Lindman… ","Radiotherapy and …, 2002 ","Purpose: To determine how much proton and intensity modulated photon radiotherapy (IMRT) 
can improve treatment results of node-positive left-sided breast cancer compared to conventional 
radiation qualities (X-rays and electrons) after breast-conserving surgery in terms of …"
Henrik Lindman,30,Predictive biomarkers for adjuvant capecitabine benefit in early-stage triple-negative breast cancer in the FinXX clinical trial,https://clincancerres.aacrjournals.org/content/26/11/2603.abstract,"K Asleh, HA Brauer, A Sullivan, S Lauttia… ","Clinical Cancer …, 2020 ","Purpose: Recent studies have demonstrated a benefit of adjuvant capecitabine in early breast 
cancer, particularly in patients with triple-negative breast cancer (TNBC). However, TNBC is 
heterogeneous and more precise predictive biomarkers are needed. Experimental Design…"
Henrik Lindman,30,"Docetaxel, trastuzumab, pertuzumab versus trastuzumab emtansine as neoadjuvant treatment of HER2-positive breast cancer: results from the Swedish PREDIX …",https://ascopubs.org/doi/abs/10.1200/JCO.2019.37.15_suppl.501,"JCS Bergh, A Andersson, J Bjohle, A Bosch… ",2019 ,"501 Background: Neoadjuvant therapy produces high rates of pathological complete response 
(pCR) and is the standard of care in HER2 positive breast cancer; however, the optimal 
treatment regimen remains to be established. Methods: In this randomized phase II study …"
Henrik Lindman,30,Long-term effects on the incidence of second primary cancers in a randomized trial of two and five years of adjuvant tamoxifen,https://www.tandfonline.com/doi/abs/10.1080/0284186X.2016.1273547,"J Rosell, B Nordenskjöld, NO Bengtsson… ","Acta …, 2017 ","Background: Tamoxifen is a well established treatment for breast cancer, but its long-term 
effects on the incidence of secondary cancers are not fully evaluated. Material and methods: 
We have studied 4128 postmenopausal patients with early stage breast cancer who were …"
Henrik Lindman,30,[HTML][HTML] Breast cancer in young women and prognosis: How important are proliferation markers?,https://www.sciencedirect.com/science/article/pii/S0959804917311772,"H Fredholm, K Magnusson, LS Lindström… ","European journal of …, 2017 ","Aim Compared to middle-aged women, young women with breast cancer have a higher risk of 
systemic disease. We studied expression of proliferation markers in relation to age and 
subtype and their association with long-term prognosis. Methods Distant disease-free survival (…"
