title,title_link,authors,publications,snippet,hcp_name,num_articles
Primary leiomyosarcoma of the thoracic aorta. Case report and review of literature,https://search.proquest.com/openview/791d68ebc21dde051a2312c14d3f84b6/1?pq-origsite=gscholar&cbl=1286339,M Drozd-Lula ,"Wspólczesna Onkologia, 2001 ","The subject of this article is a 73-year old woman with primary leiomyosarcoma of the thoracic 
aorta which gave via arteriae multiple metastases to the skin and bones of inferior extremities. 
Reviewed was the literature concerning this unusual localisation of leiomyosarcoma. …",Malgorzata Drozd-Lula,3
Primary leiomyosarcoma of the thoracic aorta. Case report and review of literature,https://search.proquest.com/openview/791d68ebc21dde051a2312c14d3f84b6/1?pq-origsite=gscholar&cbl=1286339,M Drozd-Lula ,"Wspólczesna Onkologia, 2001 ","The subject of this article is a 73-year old woman with primary leiomyosarcoma of the thoracic 
aorta which gave via arteriae multiple metastases to the skin and bones of inferior extremities. 
Reviewed was the literature concerning this unusual localisation of leiomyosarcoma. …",Malgorzata Drozd-Lula,3
Primary leiomyosarcoma of the thoracic aorta. Case report and review of literature,https://search.proquest.com/openview/791d68ebc21dde051a2312c14d3f84b6/1?pq-origsite=gscholar&cbl=1286339,M Drozd-Lula ,"Wspólczesna Onkologia, 2001 ","The subject of this article is a 73-year old woman with primary leiomyosarcoma of the thoracic 
aorta which gave via arteriae multiple metastases to the skin and bones of inferior extremities. 
Reviewed was the literature concerning this unusual localisation of leiomyosarcoma. …",Malgorzata Drozd-Lula,3
,,,,,Malgorzata Drozd-Lula,3
,,,,,Malgorzata Drozd-Lula,3
[HTML][HTML] Summary of international recommendations in 23 languages for patients with cancer during the COVID-19 pandemic,https://www.thelancet.com/journals/lanonc/article/PIIS1470-2045(20)30278-3/fulltext?utm_source=related_article_headline&utm_medium=Summary%20of%20international%20recommendations%20in%2023%20languages%20for%20patients%20with%20cancer%20during%20the%20COVID-19%20pandemic-clk_0&utm_campaign=mashupmd_related_articles,"D Mauri, K Kamposioras, M Tolia, F Alongi… ","The Lancet …, 2020 ","Patients with cancer are at high risk for serious illness and death from COVID-19. The pandemic 
has altered the routine for oncology patients. Their lives depend on their ability to receive 
medical care, but every visit to a health-care facility exposes them to the risk of contracting …",Mari Åhs,5
"Mechanisms of cell death of thymocytes induced by polyunsaturated, monounsaturated and trans‐fatty acids",https://onlinelibrary.wiley.com/doi/abs/10.1002/jcb.23319,"M Åhs, A Prasad, Z Aminov… ","Journal of cellular …, 2011 ","Polyunsaturated fatty acids (PUFAs) are rapidly cytotoxic to isolated murine thymocytes, and 
the degree of cell death has been correlated with changes in membrane fluidity, elevation of 
intracellular calcium concentration and generation of reactive oxygen species. We have …",Mari Åhs,5
Omega-3 and omega-6 fatty acids kill thymocytes and increase membrane fluidity,https://benthamopen.com/ABSTRACT/TOCBJ-2-1,"A Prasad, M Åhs, A Goncharov… ","The Open Cell …, 2010 ","Background: Omega-3 but not omega-6 fatty acids are thought to promote cardiovascular 
health by increasing membrane fluidity. Methods: The actions of acute application of omega-3 
[docosahexaenoic acid (DHA, 22: 6n-3), eicosapentaenoic (EPA, 20: 5n-3) and α-linolenic …",Mari Åhs,5
[PDF][PDF] Behind the numbers and the panic of a viral pandemic: fixed restrictive oncology guidance may jeopardize patients' survival,https://jbuon.com/archive/25-3-1277.pdf,"D Mauri, D Tzachanis, A Valachis, K Kamposioras… ","J BUON, 2020 ","To protect cancer patients from COVID-19 exposure, prioritization strategies are being 
implemented at global level. Measures include use of tele-health services, deferring elective 
surgeries, delaying non life-saving therapies, interrupting maintenance and supportive care …",Mari Åhs,5
[PDF][PDF] Behind the numbers and the panic of a viral pandemic: fixed restrictive oncology guidance may jeopardize patients' survival,https://jbuon.com/archive/25-3-1277.pdf,"D Mauri, D Tzachanis, A Valachis, K Kamposioras… ","J BUON, 2020 ","To protect cancer patients from COVID-19 exposure, prioritization strategies are being 
implemented at global level. Measures include use of tele-health services, deferring elective 
surgeries, delaying non life-saving therapies, interrupting maintenance and supportive care …",Mari Åhs,5
