hcp_name,num_articles,title,authors,journal,publication_year,abstract,hcp_name_short,scraped_from
Aglaia Schiza,10,adenovirusmediated cd40l gene transfer increases teffectortregulatory cell ratio upregulates death receptors metastatic melanoma patients,"A Schiza, J Wenthe, S Mangsbo",journal of,2017.0,"malignant melanoma aggressive tumor sensitive immunotherapy checkpoint blockade antibodies. still, patients late stage disease respond, effects severe. stimulation cd40 pathway initiate anti-tumor immunity",A Schiza,gs
Aglaia Schiza,10,high pdgfrb expression predicts resistance radiotherapy dcis swedcis randomized trial,"C Strell, D Folkvaljon, E Holmberg, A Schiza",clinical cancer,2021.0,purpose: this study analyzes potential stromal platelet-derived growth factor receptor-beta (pdgfrb) expression biomarker radiotherapy (rt) benefit ipsilateral breast events (ibe) ductal carcinoma situ (dcis). improved identification dcis patients,A Schiza,gs
Aglaia Schiza,10,evaluation diffusionweighted mri fdgpetct assess response adcd40l treatment metastatic melanoma patients,"A Schiza, S Irenaeus, F Nieto, A Loskog",scientific reports,2019.0,the purpose evaluate potential diffusion-weighted-magnetic resonance imaging (dw-mri) 18 f-fludeoxy-glucose-positron emission tomography integrated ct (fdg-pet/ct) prediction overall survival (os) following adcd40l-immunotherapy,A Schiza,gs
Aglaia Schiza,10,local irradiation enhance effect immunostimulatory adcd40l gene therapy combined low dose cyclophosphamide melanoma patients,"S Irenaeus, A Schiza, S Mangsbo, J Wenthe",oncotarget,2017.0,"background adcd40l immunostimulatory gene therapy evaluation advanced melanoma, including ocular melanoma. herein, present final data phase i/iia trial adcd40l combination low dose cyclophosphamide+/-radiation",A Schiza,gs
Aglaia Schiza,10,predictive role her2status effectiveness endocrine adjuvant treatment postmenopausal breast cancer patients populationbased cohort ,"A Schiza, D Mauri, I Fredriksson, A Wennstig",breast cancer research,2021.0,purpose there conflicting results potential role her2-status efficacy aromatase inhibitors (ais) tamoxifen (tam) patients hormone receptor (hr)-positive breast cancer (bc). the purpose population-based cohort study investigate,A Schiza,gs
Aglaia Schiza,10,safety intratumoral immunostimulatory load703 gene therapy patients advanced cancer,"S Irenaeus, J Wenthe, E Eriksson, A Schiza",,2021.0,load703 oncolytic adenovirus carrying immunostimulatory transgenes trimerized membrane-bound (tmz)-cd40l 4-1bbl. cd40/cd40l interaction causes dendritic cell maturation stimulates th1 type immune responses signaling trough 4-1bb,A Schiza,gs
Aglaia Schiza,10,air flow optimization intake fourcylinder formula student fsae racecar,A Schiza,,2021.0,"intake tuning ram effect widely known methods increase engine performance. this thesis details design, study results intake implemented honda cbr 600rr 2007 engine, equipped restrictor downstream throttle body,",A Schiza,gs
Aglaia Schiza,10,experimental treatment patients disseminated malignant melanoma,A Schiza,,2017.0,digital comprehensive summaries uppsala dissertations faculty medicine 1382. 80 pp. uppsala: acta universitatis upsaliensis. isbn 978-91-513-0107-5. malignant melanoma (mm) deadliest skin cancer ever-increasing incidence. new treatments,A Schiza,gs
Aglaia Schiza,10,diffusionweighted mri better fdgpetct assess immunotherapy response patients metastatic melanoma,"A Schiza, S Irenaeus, F Nieto, A Loskog",,2017.0,"malignant melanoma (mm) deadliest skin cancer ever-increasing incidence. new treatments improved prognosis patients advanced mm. still, patients respond, effects severe, underlining need better",A Schiza,gs
Aglaia Schiza,10,a case report patient metastatic uveal melanoma experienced complete response treatment nivo3 ipi1 regimen,"A Schiza, Y Naeser, A Sundin",clin oncol case rep 4,2021.0,"background: uveal melanoma rare malignancy advanced setting effective treatment. therefore, combined checkpoint blockade nivolumab 1 mg/kg ipilimumab 3 mg/kg (nivo1+ ipi3) frequently despite low response rates high",A Schiza,gs
Alaa Haidar,5,transcriptional regulatory network discovery multiple method integration application e coli k12,"J Sun, K Tuncay, A Haidar",algorithms for,2007.0,"transcriptional regulatory network (trn) discovery method (eg microarray analysis, gene ontology, phylogenic similarity) feasible lack sufficient information, resulting construction spurious incomplete trns. we develop",A Haidar,gs
Alaa Haidar,5,transcriptional regulatory networks gene ontology expression data,"K Tuncay, L Ensman, J Sun, A Haidar",in silico,2007.0,"transcriptional regulatory network (trn) discovery information single source feasible lack sufficient information, resulting construction spurious incomplete trns. a methodology, trnd, integrates preliminary trn, gene",A Haidar,gs
Alaa Haidar,5,malignant epithelioid peritoneal mesothelioma recurring 5 years case report literature review,"M Chbat, M Rakka, A Haidar, N Sabbah",journal of surgery,2021.0,malignant peritoneal mesothelioma rare disease peritoneal lining aggressiveness vary depending biology tumor risk factors patient. we reporting following case history 69 years old gentleman working,A Haidar,gs
Alaa Haidar,5,metachronous skin metastasis gastric cancer case report,"M Rakka, A Haidar, N Bazzi, A Safadi",joj case,2019.0,"an 86-year-old man, undergone gastric surgery peptic ulcer disease 40 years ago diagnosed gastric adenocarcinoma. then underwent subtotal gastrectomy regional lymphadenectomy, followed roux en y gastrojejunostomy, adjuvant",A Haidar,gs
Alaa Haidar,5,the analyse adding security qos parameters,"A Haidar, M Houseini, M Kshour",international journal of,2014.0,"the synchronization security quality service network basic requirement, despite existence mutual effect, engineers seek create state close ideal networks service security level. the",A Haidar,gs
